Player,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,NewLeague
-Scott Bradley,220,66,5,20,28,13,3,290,80,5,27,31,15,A,W,281,21,3,90,A
-Sid Bream,522,140,16,73,77,60,4,730,185,22,93,106,86,N,E,1320,166,17,200,N
-Steve Buechele,461,112,18,54,54,35,2,680,160,24,76,75,49,A,W,111,226,11,135,A
-Shawon Dunston,581,145,17,66,68,21,2,831,210,21,106,86,40,N,E,320,465,32,155,N
-Scott Fletcher,530,159,3,82,50,47,6,1619,426,11,218,149,163,A,W,196,354,15,475,A
-Steve Garvey,557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,N,W,1160,53,7,1450,N
-Steve Jeltz,439,96,0,44,36,65,4,711,148,1,68,56,99,N,E,229,406,22,150,N
-Steve Lombardozzi,453,103,8,53,33,52,2,507,123,8,63,39,58,A,W,289,407,6,105,A
-Spike Owen,528,122,1,67,45,51,4,1716,403,12,211,146,155,A,W,209,372,17,350,A
-Steve Sax,633,210,6,91,56,59,6,3070,872,19,420,230,274,N,W,367,432,16,90,N
-Tony Armas,16,2,0,1,0,0,2,28,4,0,1,0,0,A,E,247,4,8,,A
-Tony Bernazard,562,169,17,88,73,53,8,3181,841,61,450,342,373,A,E,351,442,17,530,A
-Tom Brookens,281,76,3,42,25,20,8,2658,657,48,324,300,179,A,E,106,144,7,341.667,A
-Tom Brunansky,593,152,23,69,75,53,6,2765,686,133,369,384,321,A,W,315,10,6,940,A
-Tony Fernandez,687,213,10,91,65,27,4,1518,448,15,196,137,89,A,E,294,445,13,350,A
-Tim Flannery,368,103,3,48,28,54,8,1897,493,9,207,162,198,N,W,209,246,3,326.667,N
-Tom Foley,263,70,1,26,23,30,4,888,220,9,83,82,86,N,E,81,147,4,250,N
-Tony Gwynn,642,211,14,107,59,52,5,2364,770,27,352,230,193,N,W,337,19,4,740,N
-Terry Harper,265,68,8,26,30,29,7,1337,339,32,135,163,128,N,W,92,5,3,425,A
-Toby Harrah,289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,A,W,166,211,7,,A
-Tommy Herr,559,141,2,48,61,73,8,3162,874,16,421,349,359,N,E,352,414,9,925,N
-Tim Hulett,520,120,17,53,44,21,4,927,227,22,106,80,52,A,W,70,144,11,185,A
-Terry Kennedy,19,4,1,2,3,1,1,19,4,1,2,3,1,N,W,692,70,8,920,A
-Tito Landrum,205,43,2,24,17,20,7,854,219,12,105,99,71,N,E,131,6,1,286.667,N
-Tim Laudner,193,47,10,21,29,24,6,1136,256,42,129,139,106,A,W,299,13,5,245,A
-Tom O'Malley,181,46,1,19,18,17,5,937,238,9,88,95,104,A,E,37,98,9,,A
-Tom Paciorek,213,61,4,17,22,3,17,4061,1145,83,488,491,244,A,W,178,45,4,235,A
-Tony Pena,510,147,10,56,52,53,7,2872,821,63,307,340,174,N,E,810,99,18,1150,N
-Terry Pendleton,578,138,1,56,59,34,3,1399,357,7,149,161,87,N,E,133,371,20,160,N
-Tony Perez,200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,N,W,398,29,7,,N
-Tony Phillips,441,113,5,76,52,76,5,1546,397,17,226,149,191,A,W,160,290,11,425,A
-Terry Puhl,172,42,3,17,14,15,10,4086,1150,57,579,363,406,N,W,65,0,0,900,N
-Tim Raines,580,194,9,91,62,78,8,3372,1028,48,604,314,469,N,E,270,13,6,,N
-Ted Simmons,127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,N,W,167,18,6,500,N
-Tim Teufel,279,69,4,35,31,32,4,1359,355,31,180,148,158,N,E,133,173,9,277.5,N
-Tim Wallach,480,112,18,50,71,44,7,3031,771,110,338,406,239,N,E,94,270,16,750,N
-Vince Coleman,600,139,0,94,29,60,2,1236,309,1,201,69,110,N,E,300,12,9,160,N
-Von Hayes,610,186,19,107,98,74,6,2728,753,69,399,366,286,N,E,1182,96,13,1300,N
-Vance Law,360,81,5,37,44,37,7,2268,566,41,279,257,246,N,E,170,284,3,525,N
-Wally Backman,387,124,1,67,27,36,7,1775,506,6,272,125,194,N,E,186,290,17,550,N
-Wade Boggs,580,207,8,107,71,105,5,2778,978,32,474,322,417,A,E,121,267,19,1600,A
-Will Clark,408,117,11,66,41,34,1,408,117,11,66,41,34,N,W,942,72,11,120,N
-Wally Joyner,593,172,22,82,100,57,1,593,172,22,82,100,57,A,W,1222,139,15,165,A
-Wayne Krenchicki,221,53,2,21,23,22,8,1063,283,15,107,124,106,N,E,325,58,6,,N
-Willie McGee,497,127,7,65,48,37,5,2703,806,32,379,311,138,N,E,325,9,3,700,N
-Willie Randolph,492,136,5,76,50,94,12,5511,1511,39,897,451,875,A,E,313,381,20,875,A
-Wayne Tolleson,475,126,3,61,43,52,6,1700,433,7,217,93,146,A,W,37,113,7,385,A
-Willie Upshaw,573,144,9,85,60,78,8,3198,857,97,470,420,332,A,E,1314,131,12,960,A
-Willie Wilson,631,170,9,77,44,31,11,4908,1457,30,775,357,249,A,W,408,4,3,1000,A
